CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Total,RFM_Score,Segment,Cluster
12442,3,1,144.06,5,1,1,7,511,Potential,0
12444,21,5,4085.46,4,4,5,13,445,VIP,1
12445,22,1,77.4,4,1,1,6,411,At-Risk,0
12446,58,1,1002.3100000000001,3,1,4,8,314,Potential,0
12447,243,1,431.49,1,1,2,4,112,At-Risk,0
12448,44,1,365.45,3,1,2,6,312,At-Risk,0
12449,22,4,3596.29,4,4,5,13,445,VIP,1
12450,156,2,197.88,2,2,1,5,221,At-Risk,0
12451,11,5,8952.32,5,4,5,14,545,VIP,1
12452,17,1,348.57,4,1,2,7,412,Potential,0
12453,134,1,707.09,2,1,3,6,213,At-Risk,0
12454,56,1,2621.8,3,1,5,9,315,Potential,0
12455,73,5,2339.86,2,4,5,11,245,Loyal,1
12456,44,3,2581.04,3,3,5,11,335,Loyal,1
12457,66,6,2043.23,3,5,5,13,355,VIP,1
12458,71,2,787.4,3,2,3,8,323,Potential,0
12461,155,1,626.88,2,1,3,6,213,At-Risk,0
12462,19,2,937.59,4,2,4,10,424,Loyal,0
12463,53,4,1200.78,3,4,4,11,344,Loyal,1
12464,10,8,957.05,5,5,4,14,554,VIP,1
12465,17,2,682.1899999999999,4,2,3,9,423,Potential,0
12468,188,2,657.54,1,2,3,6,123,At-Risk,0
12471,2,27,14759.05,5,5,5,15,555,VIP,1
12472,32,7,6068.11,4,5,5,14,455,VIP,1
12473,54,3,2585.73,3,3,5,11,335,Loyal,1
12474,17,18,6694.09,4,5,5,14,455,VIP,1
12475,54,1,669.38,3,1,3,7,313,Potential,0
12476,16,11,5898.42,4,5,5,14,455,VIP,1
12477,23,6,12596.140000000001,4,5,5,14,455,VIP,1
12478,4,1,545.99,5,1,3,9,513,Potential,0
12479,11,1,473.2,5,1,3,9,513,Potential,0
12480,28,4,2770.4300000000003,4,4,5,13,445,VIP,1
12481,23,10,5003.82,4,5,5,14,455,VIP,1
12483,17,8,1910.98,4,5,4,13,454,VIP,1
12484,35,4,3939.32,3,4,5,12,345,Loyal,1
12488,10,3,1244.66,5,3,4,12,534,Loyal,1
12489,336,1,298.93,1,1,2,4,112,At-Risk,0
12490,5,10,4859.93,5,5,5,15,555,VIP,1
12491,39,1,424.40000000000003,3,1,2,6,312,At-Risk,0
12492,63,2,227.21,3,2,1,6,321,At-Risk,0
12493,166,2,415.74,2,2,2,6,222,At-Risk,0
12494,16,7,1084.1000000000001,4,5,4,13,454,VIP,1
12497,82,1,953.1,2,1,4,7,214,Potential,0
12498,21,3,349.70000000000005,4,3,2,9,432,Potential,0
12500,23,10,3530.7400000000002,4,5,5,14,455,VIP,1
12501,337,1,2025.39,1,1,5,7,115,Potential,0
12502,96,5,2995.87,2,4,5,11,245,Loyal,1
12504,18,2,428.04999999999995,4,2,2,8,422,Potential,0
12506,233,1,73.5,1,1,1,3,111,At-Risk,0
12507,134,3,1045.6100000000001,2,3,4,9,234,Potential,0
12508,26,2,398.04,4,2,2,8,422,Potential,0
12509,284,1,158.5,1,1,1,3,111,At-Risk,0
12510,143,2,814.5699999999999,2,2,3,7,223,Potential,0
12512,66,2,132.18,3,2,1,6,321,At-Risk,0
12513,113,1,558.29,2,1,3,6,213,At-Risk,0
12514,267,1,1017.68,1,1,4,6,114,At-Risk,0
12515,353,1,278.7,1,1,2,4,112,At-Risk,0
12516,78,2,1186.06,2,2,4,8,224,Potential,0
12517,28,4,2301.6,4,4,5,13,445,VIP,1
12518,1,5,1840.89,5,4,4,13,544,VIP,1
12519,64,1,276.84,3,1,2,6,312,At-Risk,0
12520,79,5,2346.2599999999998,2,4,5,11,245,Loyal,1
12521,143,1,545.68,2,1,3,6,213,At-Risk,0
12522,39,2,156.72,3,2,1,6,321,At-Risk,0
12523,19,11,1699.77,4,5,4,13,454,VIP,1
12524,9,8,3945.72,5,5,5,15,555,VIP,1
12526,1,3,1172.66,5,3,4,12,534,Loyal,1
12527,82,3,330.71000000000004,2,3,2,7,232,Potential,0
12528,9,6,1645.48,5,5,4,14,554,VIP,1
12530,60,4,1500.28,3,4,4,11,344,Loyal,1
12531,15,1,125.22,4,1,1,6,411,At-Risk,0
12532,30,1,313.83000000000004,4,1,2,7,412,Potential,0
12534,131,1,981.18,2,1,4,7,214,Potential,0
12535,92,2,716.35,2,2,3,7,223,Potential,0
12536,59,1,4279.71,3,1,5,9,315,Potential,0
12538,29,1,363.95,4,1,2,7,412,Potential,0
12539,22,4,5568.35,4,4,5,13,445,VIP,1
12540,20,17,11580.24,4,5,5,14,455,VIP,1
12541,30,3,841.18,4,3,3,10,433,Loyal,0
12544,36,1,316.7,3,1,2,6,312,At-Risk,0
12545,75,2,832.39,2,2,3,7,223,Potential,0
12546,47,2,1021.5,3,2,4,9,324,Potential,0
12547,198,2,151.79999999999998,1,2,1,4,121,At-Risk,0
12548,166,1,67.19999999999999,2,1,1,4,211,At-Risk,0
12550,79,1,824.83,2,1,3,6,213,At-Risk,0
12551,358,1,168.0,1,1,1,3,111,At-Risk,0
12552,40,1,317.82,3,1,2,6,312,At-Risk,0
12553,8,10,3278.28,5,5,5,15,555,VIP,1
12556,50,2,599.98,3,2,3,8,323,Potential,0
12557,16,5,4715.34,4,4,5,13,445,VIP,1
12558,8,1,269.96,5,1,2,8,512,Potential,0
12559,311,2,525.71,1,2,3,6,123,At-Risk,0
12560,5,2,1918.01,5,2,4,11,524,Loyal,1
12561,303,1,238.85,1,1,1,3,111,At-Risk,0
12562,8,7,3385.7400000000002,5,5,5,15,555,VIP,1
12564,261,1,402.9,1,1,2,4,112,At-Risk,0
12565,289,1,145.92,1,1,1,3,111,At-Risk,0
12566,86,1,297.65,2,1,2,5,212,At-Risk,0
12567,23,10,8609.28,4,5,5,14,455,VIP,1
12569,2,32,3152.69,5,5,5,15,555,VIP,1
12571,40,2,519.61,3,2,3,8,323,Potential,0
12572,9,2,912.42,5,2,4,11,524,Loyal,1
12573,227,1,160.8,1,1,1,3,111,At-Risk,0
12574,316,1,182.45000000000002,1,1,1,3,111,At-Risk,0
12576,36,5,1315.83,3,4,4,11,344,Loyal,1
12577,35,3,624.07,3,3,3,9,333,Potential,0
12578,21,2,2402.51,4,2,5,11,425,Loyal,1
12579,78,1,386.42,2,1,2,5,212,At-Risk,0
12580,247,1,379.7,1,1,2,4,112,At-Risk,0
12581,40,1,179.71,3,1,1,5,311,At-Risk,0
12582,239,2,351.36,1,2,2,5,122,At-Risk,0
12583,3,15,6705.38,5,5,5,15,555,VIP,1
12584,4,9,2254.15,5,5,5,15,555,VIP,1
12585,234,2,1824.1,1,2,4,7,124,Potential,0
12586,17,1,196.94000000000003,4,1,1,6,411,At-Risk,0
12587,8,1,104.0,5,1,1,7,511,Potential,0
12588,39,1,174.89999999999998,3,1,1,5,311,At-Risk,0
12589,29,2,574.68,4,2,3,9,423,Potential,0
12590,211,1,8391.460000000001,1,1,5,7,115,Potential,0
12591,317,1,368.85,1,1,2,4,112,At-Risk,0
12592,92,2,401.6,2,2,2,6,222,At-Risk,0
12593,109,3,382.09999999999997,2,3,2,7,232,Potential,0
12594,38,9,3208.2200000000003,3,5,5,13,355,VIP,1
12596,51,2,450.27,3,2,2,7,322,Potential,0
12597,19,4,3195.22,4,4,5,13,445,VIP,1
12598,10,7,2807.08,5,5,5,15,555,VIP,1
12599,29,7,888.58,4,5,3,12,453,Loyal,1
12600,29,10,2275.04,4,5,5,14,455,VIP,1
12601,190,5,487.06,1,4,3,8,143,Potential,0
12602,59,1,153.12,3,1,1,5,311,At-Risk,0
12603,22,1,201.60000000000002,4,1,1,6,411,At-Risk,0
12604,79,2,236.18,2,2,1,5,221,At-Risk,0
12607,60,1,1579.51,3,1,4,8,314,Potential,0
12609,78,3,964.85,2,3,4,9,234,Potential,0
12610,23,4,1747.54,4,4,4,12,444,Loyal,1
12611,52,1,1193.32,3,1,4,8,314,Potential,0
12612,74,1,668.0400000000001,2,1,3,6,213,At-Risk,0
12613,57,4,3092.38,3,4,5,12,345,Loyal,1
12614,278,1,315.6,1,1,2,4,112,At-Risk,0
12615,2,4,2093.19,5,4,5,14,545,VIP,1
12616,95,2,641.3,2,2,3,7,223,Potential,0
12617,29,1,352.98,4,1,2,7,412,Potential,0
12618,22,1,137.31,4,1,1,6,411,At-Risk,0
12619,16,8,2945.56,4,5,5,14,455,VIP,1
12620,15,3,1295.91,4,3,4,11,434,Loyal,1
12621,2,20,12061.87,5,5,5,15,555,VIP,1
12622,232,1,162.1,1,1,1,3,111,At-Risk,0
12623,276,1,269.1,1,1,2,4,112,At-Risk,0
12624,106,2,569.13,2,2,3,7,223,Potential,0
12625,212,2,2413.82,1,2,5,8,125,Potential,0
12626,23,9,5954.48,4,5,5,14,455,VIP,1
12627,11,6,4082.53,5,5,5,15,555,VIP,1
12628,4,3,732.46,5,3,3,11,533,Loyal,1
12630,10,2,1030.88,5,2,4,11,524,Loyal,1
12631,57,1,480.5,3,1,3,7,313,Potential,0
12633,59,4,1906.98,3,4,4,11,344,Loyal,1
12635,90,2,1509.18,2,2,4,8,224,Potential,0
12637,67,8,5805.55,3,5,5,13,355,VIP,1
12638,33,1,511.69,4,1,3,8,413,Potential,0
12639,239,1,366.1,1,1,2,4,112,At-Risk,0
12640,24,3,994.58,4,3,4,11,434,Loyal,1
12641,115,1,145.9,2,1,1,4,211,At-Risk,0
12642,25,3,905.26,4,3,3,10,433,Loyal,1
12643,128,6,2112.2400000000002,2,5,5,12,255,Loyal,1
12644,130,1,477.91,2,1,3,6,213,At-Risk,0
12645,34,4,1631.18,3,4,4,11,344,Loyal,1
12646,5,2,1346.97,5,2,4,11,524,Loyal,1
12647,22,12,3146.82,4,5,5,14,455,VIP,1
12648,155,1,300.05,2,1,2,5,212,At-Risk,0
12649,107,3,569.51,2,3,3,8,233,Potential,0
12650,3,1,242.44000000000003,5,1,2,8,512,Potential,0
12651,335,1,114.0,1,1,1,3,111,At-Risk,0
12652,331,1,793.98,1,1,3,5,113,At-Risk,0
12653,149,2,2061.05,2,2,5,9,225,Potential,0
12654,11,5,529.98,5,4,3,12,543,Loyal,1
12656,17,5,3565.77,4,4,5,13,445,VIP,1
12657,11,4,1427.18,5,4,4,13,544,VIP,1
12658,19,1,632.05,4,1,3,8,413,Potential,0
12659,30,1,73.68,4,1,1,6,411,At-Risk,0
12660,11,1,227.1,5,1,1,7,511,Potential,0
12662,1,11,3543.78,5,5,5,15,555,VIP,1
12664,8,9,3733.8,5,5,5,15,555,VIP,1
12665,325,1,45.0,1,1,1,3,111,At-Risk,0
12667,58,1,460.13,3,1,2,6,312,At-Risk,0
12668,12,4,3177.15,5,4,5,14,545,VIP,1
12669,151,2,1427.73,2,2,4,8,224,Potential,0
12670,10,5,2744.05,5,4,5,14,545,VIP,1
12672,330,1,225.89999999999998,1,1,1,3,111,At-Risk,0
12673,5,2,574.52,5,2,3,10,523,Loyal,1
12674,39,4,1844.6,3,4,4,11,344,Loyal,1
12676,25,6,1091.39,4,5,4,13,454,VIP,1
12678,42,10,12972.380000000001,3,5,5,13,355,VIP,1
12679,59,4,951.02,3,4,4,11,344,Loyal,0
12680,1,4,790.81,5,4,3,12,543,Loyal,1
12681,15,22,12352.34,4,5,5,14,455,VIP,1
12682,4,31,10821.58,5,5,5,15,555,VIP,1
12683,4,14,7612.57,5,5,5,15,555,VIP,1
12684,8,6,2073.63,5,5,5,15,555,VIP,1
12685,28,6,2575.08,4,5,5,14,455,VIP,1
12686,372,1,71.14,1,1,1,3,111,At-Risk,0
12688,114,1,4873.8099999999995,2,1,5,8,215,Potential,0
12689,26,2,1139.61,4,2,4,10,424,Loyal,0
12690,206,1,335.01,1,1,2,4,112,At-Risk,0
12691,28,5,927.8,4,4,4,12,444,Loyal,1
12693,127,4,711.91,2,4,3,9,243,Potential,0
12694,70,2,761.67,3,2,3,8,323,Potential,0
12695,7,4,582.1,5,4,3,12,543,Loyal,1
12697,29,3,757.59,4,3,3,10,433,Loyal,0
12700,8,4,4525.99,5,4,5,14,545,VIP,1
12701,80,2,725.71,2,2,3,7,223,Potential,0
12702,20,1,201.0,4,1,1,6,411,At-Risk,0
12703,71,1,265.55,3,1,2,6,312,At-Risk,0
12704,7,8,1740.84,5,5,4,14,554,VIP,1
12705,15,8,6382.29,4,5,5,14,455,VIP,1
12707,292,1,603.42,1,1,3,5,113,At-Risk,0
12708,30,10,2442.91,4,5,5,14,455,VIP,1
12709,15,15,8940.02,4,5,5,14,455,VIP,1
12710,97,3,1023.02,2,3,4,9,234,Potential,0
12712,29,13,3928.13,4,5,5,14,455,VIP,1
12713,1,1,794.55,5,1,3,9,513,Potential,1
12714,9,5,4294.86,5,4,5,14,545,VIP,1
12715,106,1,263.36,2,1,2,5,212,At-Risk,0
12716,4,2,963.49,5,2,4,11,524,Loyal,1
12717,151,2,830.98,2,2,3,7,223,Potential,0
12718,71,1,202.25,3,1,1,5,311,At-Risk,0
12719,5,2,572.95,5,2,3,10,523,Loyal,1
12720,3,25,5115.7300000000005,5,5,5,15,555,VIP,1
12721,32,6,2386.13,4,5,5,14,455,VIP,1
12722,85,4,979.63,2,4,4,10,244,Loyal,0
12723,4,5,707.07,5,4,3,12,543,Loyal,1
12724,5,4,923.41,5,4,4,13,544,VIP,1
12725,371,1,371.8,1,1,2,4,112,At-Risk,0
12726,28,7,2411.1,4,5,5,14,455,VIP,1
12727,11,7,3440.7,5,5,5,15,555,VIP,1
12728,71,4,728.33,3,4,3,10,343,Loyal,0
12729,114,1,417.01,2,1,2,5,212,At-Risk,0
12731,24,12,17261.91,4,5,5,14,455,VIP,1
12732,180,1,218.26000000000002,1,1,1,3,111,At-Risk,0
12733,234,1,383.95,1,1,2,4,112,At-Risk,0
12734,353,1,110.39999999999999,1,1,1,3,111,At-Risk,0
12735,315,2,689.5699999999999,1,2,3,6,123,At-Risk,0
12736,333,1,144.0,1,1,1,3,111,At-Risk,0
12738,372,1,137.35,1,1,1,3,111,At-Risk,0
12739,99,1,975.54,2,1,4,7,214,Potential,0
12740,64,1,427.6,3,1,2,6,312,At-Risk,0
12743,134,2,540.81,2,2,3,7,223,Potential,0
12744,56,4,9071.09,3,4,5,12,345,Loyal,1
12747,2,11,4113.21,5,5,5,15,555,VIP,1
12748,1,206,31070.25,5,5,5,15,555,VIP,1
12749,4,5,4090.88,5,4,5,14,545,VIP,1
12750,129,1,275.88,2,1,2,5,212,At-Risk,0
12752,81,1,4088.38,2,1,5,8,215,Potential,0
12753,23,6,20084.95,4,5,5,14,455,VIP,1
12754,236,3,2590.81,1,3,5,9,135,Potential,0
12755,281,2,219.15000000000003,1,2,1,4,121,At-Risk,0
12756,87,1,112.07999999999998,2,1,1,4,211,At-Risk,0
12757,16,9,4177.01,4,5,5,14,455,VIP,1
12758,117,2,2791.59,2,2,5,9,225,Potential,0
12759,52,3,1411.44,3,3,4,10,334,Loyal,1
12762,8,2,1702.52,5,2,4,11,524,Loyal,1
12763,138,2,494.08,2,2,3,7,223,Potential,0
12764,317,1,1693.88,1,1,4,6,114,At-Risk,0
12766,4,7,6457.63,5,5,5,15,555,VIP,1
12769,239,1,1143.6,1,1,4,6,114,At-Risk,0
12770,211,1,1235.05,1,1,4,6,114,At-Risk,0
12772,60,1,752.47,3,1,3,7,313,Potential,0
12775,17,5,1281.04,4,4,4,12,444,Loyal,1
12778,20,6,693.23,4,5,3,12,453,Loyal,1
12779,38,8,3981.36,3,5,5,13,355,VIP,1
12781,64,2,786.74,3,2,3,8,323,Potential,0
12782,5,5,1938.92,5,4,4,13,544,VIP,1
12783,2,4,1295.87,5,4,4,13,544,VIP,1
12784,15,1,476.82,4,1,3,8,413,Potential,0
12785,364,1,255.95,1,1,2,4,112,At-Risk,0
12787,10,3,418.66,5,3,2,10,532,Loyal,1
12789,65,1,76.85,3,1,1,5,311,At-Risk,0
12790,192,1,294.92,1,1,2,4,112,At-Risk,0
12791,374,1,177.60000000000002,1,1,1,3,111,At-Risk,0
12792,257,1,344.53999999999996,1,1,2,4,112,At-Risk,0
12793,335,2,461.48,1,2,2,5,122,At-Risk,0
12794,53,2,860.41,3,2,3,8,323,Potential,0
12795,19,1,318.48,4,1,2,7,412,Potential,0
12797,366,1,226.03,1,1,1,3,111,At-Risk,0
12798,10,3,1434.2400000000002,5,3,4,12,534,Loyal,1
12802,187,1,397.58,1,1,2,4,112,At-Risk,0
12808,37,3,455.65000000000003,3,3,2,8,332,Potential,0
12809,178,1,405.31,2,1,2,5,212,At-Risk,0
12811,262,2,458.85,1,2,2,5,122,At-Risk,0
12812,45,1,229.64000000000001,3,1,1,5,311,At-Risk,0
12814,102,1,85.92,2,1,1,4,211,At-Risk,0
12815,148,2,863.46,2,2,3,7,223,Potential,0
12816,96,2,452.20000000000005,2,2,2,6,222,At-Risk,0
12817,281,1,126.03999999999999,1,1,1,3,111,At-Risk,0
12818,262,1,980.48,1,1,4,6,114,At-Risk,0
12820,3,4,942.34,5,4,4,13,544,VIP,1
12821,214,1,92.72,1,1,1,3,111,At-Risk,0
12822,71,2,948.88,3,2,4,9,324,Potential,0
12823,75,5,1008.0000000000001,2,4,4,10,244,Loyal,1
12824,60,1,397.12,3,1,2,6,312,At-Risk,0
12826,3,7,1452.22,5,5,4,14,554,VIP,1
12827,6,3,430.15000000000003,5,3,2,10,532,Loyal,1
12828,3,6,1018.71,5,5,4,14,554,VIP,1
12829,337,2,293.0,1,2,2,5,122,At-Risk,0
12830,38,6,5356.08,3,5,5,13,355,VIP,1
12831,262,1,215.05,1,1,1,3,111,At-Risk,0
12832,32,2,383.03,4,2,2,8,422,Potential,0
12833,145,1,417.38,2,1,2,5,212,At-Risk,0
12834,283,1,312.38,1,1,2,4,112,At-Risk,0
12836,59,4,2610.36,3,4,5,12,345,Loyal,1
12837,173,1,134.1,2,1,1,4,211,At-Risk,0
12838,34,2,672.08,3,2,3,8,323,Potential,0
12839,3,14,5591.42,5,5,5,15,555,VIP,1
12840,144,4,2726.77,2,4,5,11,245,Loyal,1
12841,5,25,3991.71,5,5,5,15,555,VIP,1
12842,70,2,1118.99,3,2,4,9,324,Potential,0
12843,66,8,1702.26,3,5,4,12,354,Loyal,1
12844,29,2,326.09000000000003,4,2,2,8,422,Potential,0
12845,267,4,346.89000000000004,1,4,2,7,142,Potential,0
12847,22,1,844.37,4,1,3,8,413,Potential,0
12849,31,2,992.65,4,2,4,10,424,Loyal,0
12851,97,1,133.60999999999999,2,1,1,4,211,At-Risk,0
12852,295,1,311.55,1,1,2,4,112,At-Risk,0
12853,135,6,1957.1000000000001,2,5,4,11,254,Loyal,1
12854,79,3,1316.25,2,3,4,9,234,Potential,0
12855,373,1,38.1,1,1,1,3,111,At-Risk,0
12856,8,6,2170.78,5,5,5,15,555,VIP,1
12857,211,2,1106.4,1,2,4,7,124,Potential,0
12863,52,1,382.8,3,1,2,6,312,At-Risk,0
12864,138,1,147.12,2,1,1,4,211,At-Risk,0
12865,26,2,1568.23,4,2,4,10,424,Loyal,1
12866,283,1,499.12,1,1,3,5,113,At-Risk,0
12867,26,7,4009.66,4,5,5,14,455,VIP,1
12868,186,6,1607.0600000000002,1,5,4,10,154,Loyal,1
12871,84,2,380.64,2,2,2,6,222,At-Risk,0
12872,327,2,599.97,1,2,3,6,123,At-Risk,0
12873,282,1,374.0,1,1,2,4,112,At-Risk,0
12875,143,2,251.07000000000002,2,2,2,6,222,At-Risk,0
12876,58,2,2053.02,3,2,5,10,325,Loyal,0
12877,4,12,1535.77,5,5,4,14,554,VIP,1
12878,236,2,854.99,1,2,3,6,123,At-Risk,0
12879,45,3,573.22,3,3,3,9,333,Potential,0
12881,276,1,298.0,1,1,2,4,112,At-Risk,0
12882,9,2,1381.44,5,2,4,11,524,Loyal,1
12883,25,4,703.47,4,4,3,11,443,Loyal,1
12884,88,1,309.05,2,1,2,5,212,At-Risk,0
12885,63,3,1175.22,3,3,4,10,334,Loyal,0
12886,68,2,1378.4,3,2,4,9,324,Potential,0
12888,214,2,354.12,1,2,2,5,122,At-Risk,0
12890,24,1,377.01,4,1,2,7,412,Potential,0
12891,186,3,328.6,1,3,2,6,132,At-Risk,0
12893,31,1,176.55,4,1,1,6,411,At-Risk,0
12895,42,2,372.8,3,2,2,7,322,Potential,0
12897,205,2,216.5,1,2,1,4,121,At-Risk,0
12901,9,28,8443.560000000001,5,5,5,15,555,VIP,1
12902,265,1,138.68,1,1,1,3,111,At-Risk,0
12904,18,2,496.06,4,2,3,9,423,Potential,0
12906,12,5,2761.41,5,4,5,14,545,VIP,1
12908,176,2,403.20000000000005,2,2,2,6,222,At-Risk,0
12909,40,5,2090.27,3,4,5,12,345,Loyal,1
12910,23,8,3075.04,4,5,5,14,455,VIP,1
12912,3,5,1662.3,5,4,4,13,544,VIP,1
12913,5,5,2448.83,5,4,5,14,545,VIP,1
12915,149,2,363.65,2,2,2,6,222,At-Risk,0
12916,139,4,2944.95,2,4,5,11,245,Loyal,1
12917,128,1,403.20000000000005,2,1,2,5,212,At-Risk,0
12919,8,6,1335.19,5,5,4,14,554,VIP,1
12920,17,1,162.78,4,1,1,6,411,At-Risk,0
12921,9,37,16587.09,5,5,5,15,555,VIP,1
12922,161,1,405.38,2,1,2,5,212,At-Risk,0
12923,64,1,171.7,3,1,1,5,311,At-Risk,0
12924,88,4,925.75,2,4,4,10,244,Loyal,0
12925,5,2,679.05,5,2,3,10,523,Loyal,1
12928,35,5,2062.7000000000003,3,4,5,12,345,Loyal,1
12929,312,1,117.85,1,1,1,3,111,At-Risk,0
12930,78,2,415.8,2,2,2,6,222,At-Risk,0
12931,22,15,14689.520000000002,4,5,5,14,455,VIP,1
12933,24,3,607.83,4,3,3,10,433,Loyal,0
12935,2,7,2160.7,5,5,5,15,555,VIP,1
12936,17,4,1064.06,4,4,4,12,444,Loyal,1
12937,15,4,1504.27,4,4,4,12,444,Loyal,1
12938,26,1,114.14,4,1,1,6,411,At-Risk,0
12939,64,8,7398.960000000001,3,5,5,13,355,VIP,1
12940,55,2,899.69,3,2,3,8,323,Potential,0
12942,131,3,675.92,2,3,3,8,233,Potential,0
12944,36,2,604.51,3,2,3,8,323,Potential,0
12945,288,1,462.95,1,1,2,4,112,At-Risk,0
12947,144,6,1603.99,2,5,4,11,254,Loyal,1
12948,16,7,2064.95,4,5,5,14,455,VIP,1
12949,31,8,4167.22,4,5,5,14,455,VIP,1
12950,2,3,1843.0,5,3,4,12,534,Loyal,1
12951,9,6,1064.07,5,5,4,14,554,VIP,1
12952,6,4,1387.79,5,4,4,13,544,VIP,1
12953,10,1,329.85,5,1,2,8,512,Potential,0
12955,1,11,4757.16,5,5,5,15,555,VIP,1
12956,306,1,108.07,1,1,1,3,111,At-Risk,0
12957,10,8,4017.54,5,5,5,15,555,VIP,1
12962,7,2,266.39,5,2,2,9,522,Potential,0
12963,8,8,1856.63,5,5,4,14,554,VIP,1
12965,89,1,769.8100000000001,2,1,3,6,213,At-Risk,0
12966,10,1,160.18,5,1,1,7,511,Potential,0
12967,358,2,1658.5,1,2,4,7,124,Potential,0
12968,112,1,135.95,2,1,1,4,211,At-Risk,0
12970,7,4,406.66,5,4,2,11,542,Loyal,1
